from_currency,to_currency,exchange_rate,effective_date
USD,INR,83.03,2024-01-10
USD,ISK,137.13,2024-01-10
USD,JPY,145.29,2024-01-10
USD,KRW,1318.99,2024-01-10
USD,MXN,16.991,2024-01-10
USD,MYR,4.6415,2024-01-10
USD,NOK,10.3156,2024-01-10
USD,NZD,1.6049,2024-01-10
USD,PHP,56.27,2024-01-10
USD,PLN,3.9658,2024-01-10
USD,RON,4.543,2024-01-10
USD,SEK,10.2293,2024-01-10
USD,SGD,1.3314,2024-01-10
USD,THB,35.025,2024-01-10
USD,TRY,29.974,2024-01-10
USD,ZAR,18.6497,2024-01-10
USD,AUD,1.4864,2024-01-04
USD,BGN,1.7856,2024-01-04
USD,BRL,4.9083,2024-01-04
USD,CAD,1.3332,2024-01-04
USD,CHF,0.85027,2024-01-04
USD,CNY,7.1515,2024-01-04
USD,CZK,22.507,2024-01-04
USD,DKK,6.81,2024-01-04
USD,EUR,0.91299,2024-01-04
USD,GBP,0.78771,2024-01-04
USD,HKD,7.8082,2024-01-04
USD,HUF,345.89,2024-01-04
USD,IDR,15515.0,2024-01-04
USD,ILS,3.6495,2024-01-04
USD,INR,83.24,2024-01-04
USD,ISK,137.41,2024-01-04
USD,JPY,144.17,2024-01-04
USD,KRW,1309.46,2024-01-04
USD,MXN,16.993,2024-01-04
USD,MYR,4.6345,2024-01-04
USD,NOK,10.3027,2024-01-04
USD,NZD,1.6003,2024-01-04
USD,PHP,55.54,2024-01-04
USD,PLN,3.9679,2024-01-04
USD,RON,4.5406,2024-01-04
USD,SEK,10.2168,2024-01-04
USD,SGD,1.328,2024-01-04
USD,THB,34.465,2024-01-04
USD,TRY,29.772,2024-01-04
USD,ZAR,18.6497,2024-01-04
USD,AUD,1.4959,2024-01-06
USD,BGN,1.7909,2024-01-06
USD,BRL,4.9193,2024-01-06
USD,CAD,1.3369,2024-01-06
USD,CHF,0.8534,2024-01-06
USD,CNY,7.1541,2024-01-06
USD,CZK,22.54,2024-01-06
USD,DKK,6.8294,2024-01-06
USD,EUR,0.91567,2024-01-06
USD,GBP,0.7894,2024-01-06
USD,HKD,7.8104,2024-01-06
USD,HUF,346.33,2024-01-06
USD,IDR,15536.0,2024-01-06
USD,ILS,3.6804,2024-01-06
USD,INR,83.15,2024-01-06
USD,ISK,137.81,2024-01-06
USD,JPY,145.2,2024-01-06
USD,KRW,1318.23,2024-01-06
USD,MXN,17.0375,2024-01-06
USD,MYR,4.654,2024-01-06
USD,NOK,10.3553,2024-01-06
USD,NZD,1.6083,2024-01-06
USD,PHP,55.585,2024-01-06
USD,PLN,3.9894,2024-01-06
USD,RON,4.5543,2024-01-06
USD,SEK,10.2875,2024-01-06
USD,SGD,1.3311,2024-01-06
USD,THB,34.79,2024-01-06
USD,TRY,29.841,2024-01-06
USD,ZAR,18.8179,2024-01-06
USD,AUD,1.4935,2024-01-09
USD,BGN,1.7878,2024-01-09
USD,BRL,4.888,2024-01-09
USD,CAD,1.3357,2024-01-09
USD,CHF,0.85128,2024-01-09
USD,CNY,7.1646,2024-01-09
USD,CZK,22.481,2024-01-09
USD,DKK,6.8169,2024-01-09
USD,EUR,0.91408,2024-01-09
USD,GBP,0.78554,2024-01-09
USD,HKD,7.8153,2024-01-09
USD,HUF,346.28,2024-01-09
USD,IDR,15545.0,2024-01-09
USD,ILS,3.7278,2024-01-09
USD,INR,83.11,2024-01-09
USD,ISK,137.57,2024-01-09
USD,JPY,144.09,2024-01-09
USD,KRW,1318.67,2024-01-09
USD,MXN,16.866,2024-01-09
USD,MYR,4.6435,2024-01-09
USD,NOK,10.3364,2024-01-09
USD,NZD,1.602,2024-01-09
USD,PHP,56.04,2024-01-09
USD,PLN,3.9715,2024-01-09
USD,RON,4.5444,2024-01-09
USD,SEK,10.2482,2024-01-09
USD,SGD,1.3306,2024-01-09
USD,THB,34.965,2024-01-09
USD,TRY,29.939,2024-01-09
USD,ZAR,18.6819,2024-01-09
USD,AUD,1.4959,2024-01-07
USD,BGN,1.7909,2024-01-07
USD,BRL,4.9193,2024-01-07
USD,CAD,1.3369,2024-01-07
USD,CHF,0.8534,2024-01-07
USD,CNY,7.1541,2024-01-07
USD,CZK,22.54,2024-01-07
USD,DKK,6.8294,2024-01-07
USD,EUR,0.91567,2024-01-07
USD,GBP,0.7894,2024-01-07
USD,HKD,7.8104,2024-01-07
USD,HUF,346.33,2024-01-07
USD,IDR,15536.0,2024-01-07
USD,ILS,3.6804,2024-01-07
USD,INR,83.15,2024-01-07
USD,ISK,137.81,2024-01-07
USD,JPY,145.2,2024-01-07
USD,KRW,1318.23,2024-01-07
USD,MXN,17.0375,2024-01-07
USD,MYR,4.654,2024-01-07
USD,NOK,10.3553,2024-01-07
USD,NZD,1.6083,2024-01-07
USD,PHP,55.585,2024-01-07
USD,PLN,3.9894,2024-01-07
USD,RON,4.5543,2024-01-07
USD,SEK,10.2875,2024-01-07
USD,SGD,1.3311,2024-01-07
USD,THB,34.79,2024-01-07
USD,TRY,29.841,2024-01-07
USD,ZAR,18.8179,2024-01-07
USD,AUD,1.4718,2024-01-01
USD,BGN,1.77,2024-01-01
USD,BRL,4.8523,2024-01-01
USD,CAD,1.3251,2024-01-01
USD,CHF,0.83801,2024-01-01
USD,CNY,7.1049,2024-01-01
USD,CZK,22.375,2024-01-01
USD,DKK,6.7447,2024-01-01
USD,EUR,0.90498,2024-01-01
USD,GBP,0.78647,2024-01-01
USD,HKD,7.8112,2024-01-01
USD,HUF,346.43,2024-01-01
USD,IDR,15457.0,2024-01-01
USD,ILS,3.6193,2024-01-01
USD,INR,83.17,2024-01-01
USD,ISK,136.2,2024-01-01
USD,JPY,141.48,2024-01-01
USD,KRW,1297.43,2024-01-01
USD,MXN,16.944,2024-01-01
USD,MYR,4.595,2024-01-01
USD,NOK,10.1724,2024-01-01
USD,NZD,1.5841,2024-01-01
USD,PHP,55.46,2024-01-01
USD,PLN,3.9271,2024-01-01
USD,RON,4.5028,2024-01-01
USD,SEK,10.0416,2024-01-01
USD,SGD,1.3205,2024-01-01
USD,THB,34.365,2024-01-01
USD,TRY,29.55,2024-01-01
USD,ZAR,18.4145,2024-01-01
USD,AUD,1.4959,2024-01-05
USD,BGN,1.7909,2024-01-05
USD,BRL,4.9193,2024-01-05
USD,CAD,1.3369,2024-01-05
USD,CHF,0.8534,2024-01-05
USD,CNY,7.1541,2024-01-05
USD,CZK,22.54,2024-01-05
USD,DKK,6.8294,2024-01-05
USD,EUR,0.91567,2024-01-05
USD,GBP,0.7894,2024-01-05
USD,HKD,7.8104,2024-01-05
USD,HUF,346.33,2024-01-05
USD,IDR,15536.0,2024-01-05
USD,ILS,3.6804,2024-01-05
USD,INR,83.15,2024-01-05
USD,ISK,137.81,2024-01-05
USD,JPY,145.2,2024-01-05
USD,KRW,1318.23,2024-01-05
USD,MXN,17.0375,2024-01-05
USD,MYR,4.654,2024-01-05
USD,NOK,10.3553,2024-01-05
USD,NZD,1.6083,2024-01-05
USD,PHP,55.585,2024-01-05
USD,PLN,3.9894,2024-01-05
USD,RON,4.5543,2024-01-05
USD,SEK,10.2875,2024-01-05
USD,SGD,1.3311,2024-01-05
USD,THB,34.79,2024-01-05
USD,TRY,29.841,2024-01-05
USD,ZAR,18.8179,2024-01-05
USD,AUD,1.4965,2024-01-14
USD,BGN,1.7874,2024-01-14
USD,BRL,4.872,2024-01-14
USD,CAD,1.3374,2024-01-14
USD,CHF,0.85451,2024-01-14
USD,CNY,7.1697,2024-01-14
USD,CZK,22.564,2024-01-14
USD,DKK,6.8146,2024-01-14
USD,EUR,0.91391,2024-01-14
USD,GBP,0.78551,2024-01-14
USD,HKD,7.823,2024-01-14
USD,HUF,346.69,2024-01-14
USD,IDR,15570.0,2024-01-14
USD,ILS,3.7394,2024-01-14
USD,INR,82.93,2024-01-14
USD,ISK,137.18,2024-01-14
USD,JPY,145.47,2024-01-14
USD,KRW,1314.87,2024-01-14
USD,MXN,16.901,2024-01-14
USD,MYR,4.6475,2024-01-14
USD,NOK,10.3057,2024-01-14
USD,NZD,1.6041,2024-01-14
USD,PHP,55.833,2024-01-14
USD,PLN,3.9872,2024-01-14
USD,RON,4.545,2024-01-14
USD,SEK,10.2906,2024-01-14
USD,SGD,1.3328,2024-01-14
USD,THB,35.1,2024-01-14
USD,TRY,30.095,2024-01-14
USD,ZAR,18.6812,2024-01-14
USD,AUD,1.4899,2024-01-11
USD,BGN,1.7801,2024-01-11
USD,BRL,4.879,2024-01-11
USD,CAD,1.3359,2024-01-11
USD,CHF,0.84991,2024-01-11
USD,CNY,7.1584,2024-01-11
USD,CZK,22.444,2024-01-11
USD,DKK,6.7869,2024-01-11
USD,EUR,0.91017,2024-01-11
USD,GBP,0.78406,2024-01-11
USD,HKD,7.8182,2024-01-11
USD,HUF,344.8,2024-01-11
USD,IDR,15550.0,2024-01-11
USD,ILS,3.7357,2024-01-11
USD,INR,83.02,2024-01-11
USD,ISK,136.62,2024-01-11
USD,JPY,145.36,2024-01-11
USD,KRW,1314.64,2024-01-11
USD,MXN,16.9917,2024-01-11
USD,MYR,4.646,2024-01-11
USD,NOK,10.3106,2024-01-11
USD,NZD,1.5998,2024-01-11
USD,PHP,55.99,2024-01-11
USD,PLN,3.9583,2024-01-11
USD,RON,4.5255,2024-01-11
USD,SEK,10.1911,2024-01-11
USD,SGD,1.3288,2024-01-11
USD,THB,34.995,2024-01-11
USD,TRY,29.997,2024-01-11
USD,ZAR,18.5974,2024-01-11
USD,AUD,1.5254,2024-01-17
USD,BGN,1.7981,2024-01-17
USD,BRL,4.9345,2024-01-17
USD,CAD,1.3516,2024-01-17
USD,CHF,0.86476,2024-01-17
USD,CNY,7.1952,2024-01-17
USD,CZK,22.759,2024-01-17
USD,DKK,6.8572,2024-01-17
USD,EUR,0.91937,2024-01-17
USD,GBP,0.78899,2024-01-17
USD,HKD,7.8248,2024-01-17
USD,HUF,350.15,2024-01-17
USD,IDR,15630.0,2024-01-17
USD,ILS,3.7831,2024-01-17
USD,INR,83.14,2024-01-17
USD,ISK,137.45,2024-01-17
USD,JPY,147.7,2024-01-17
USD,KRW,1345.14,2024-01-17
USD,MXN,17.2891,2024-01-17
USD,MYR,4.7175,2024-01-17
USD,NOK,10.5116,2024-01-17
USD,NZD,1.6345,2024-01-17
USD,PHP,55.915,2024-01-17
USD,PLN,4.0446,2024-01-17
USD,RON,4.5743,2024-01-17
USD,SEK,10.4739,2024-01-17
USD,SGD,1.3437,2024-01-17
USD,THB,35.51,2024-01-17
USD,TRY,30.137,2024-01-17
USD,ZAR,19.0613,2024-01-17
USD,AUD,1.5148,2024-01-16
USD,BGN,1.7973,2024-01-16
USD,BRL,4.8873,2024-01-16
USD,CAD,1.3473,2024-01-16
USD,CHF,0.86023,2024-01-16
USD,CNY,7.1896,2024-01-16
USD,CZK,22.707,2024-01-16
USD,DKK,6.8537,2024-01-16
USD,EUR,0.91895,2024-01-16
USD,GBP,0.79101,2024-01-16
USD,HKD,7.8258,2024-01-16
USD,HUF,348.61,2024-01-16
USD,IDR,15609.0,2024-01-16
USD,ILS,3.7663,2024-01-16
USD,INR,83.09,2024-01-16
USD,ISK,137.2,2024-01-16
USD,JPY,146.7,2024-01-16
USD,KRW,1337.0,2024-01-16
USD,MXN,17.0364,2024-01-16
USD,MYR,4.692,2024-01-16
USD,NOK,10.4149,2024-01-16
USD,NZD,1.6248,2024-01-16
USD,PHP,56.0,2024-01-16
USD,PLN,4.0314,2024-01-16
USD,RON,4.573,2024-01-16
USD,SEK,10.4039,2024-01-16
USD,SGD,1.3407,2024-01-16
USD,THB,35.4,2024-01-16
USD,TRY,30.107,2024-01-16
USD,ZAR,18.8872,2024-01-16
USD,AUD,1.5029,2024-01-15
USD,BGN,1.7869,2024-01-15
USD,BRL,4.8728,2024-01-15
USD,CAD,1.3426,2024-01-15
USD,CHF,0.85436,2024-01-15
USD,CNY,7.1749,2024-01-15
USD,CZK,22.58,2024-01-15
USD,DKK,6.815,2024-01-15
USD,EUR,0.91366,2024-01-15
USD,GBP,0.78643,2024-01-15
USD,HKD,7.8208,2024-01-15
USD,HUF,346.9,2024-01-15
USD,IDR,15561.0,2024-01-15
USD,ILS,3.7528,2024-01-15
USD,INR,82.87,2024-01-15
USD,ISK,136.77,2024-01-15
USD,JPY,145.88,2024-01-15
USD,KRW,1322.02,2024-01-15
USD,MXN,16.8935,2024-01-15
USD,MYR,4.6695,2024-01-15
USD,NOK,10.3371,2024-01-15
USD,NZD,1.6153,2024-01-15
USD,PHP,55.8,2024-01-15
USD,PLN,3.9858,2024-01-15
USD,RON,4.5448,2024-01-15
USD,SEK,10.3042,2024-01-15
USD,SGD,1.334,2024-01-15
USD,THB,34.968,2024-01-15
USD,TRY,30.1,2024-01-15
USD,ZAR,18.667,2024-01-15
USD,AUD,1.4965,2024-01-12
USD,BGN,1.7874,2024-01-12
USD,BRL,4.872,2024-01-12
USD,CAD,1.3374,2024-01-12
USD,CHF,0.85451,2024-01-12
USD,CNY,7.1697,2024-01-12
USD,CZK,22.564,2024-01-12
USD,DKK,6.8146,2024-01-12
USD,EUR,0.91391,2024-01-12
USD,GBP,0.78551,2024-01-12
USD,HKD,7.823,2024-01-12
USD,HUF,346.69,2024-01-12
USD,IDR,15570.0,2024-01-12
USD,ILS,3.7394,2024-01-12
USD,INR,82.93,2024-01-12
USD,ISK,137.18,2024-01-12
USD,JPY,145.47,2024-01-12
USD,KRW,1314.87,2024-01-12
USD,MXN,16.901,2024-01-12
USD,MYR,4.6475,2024-01-12
USD,NOK,10.3057,2024-01-12
USD,NZD,1.6041,2024-01-12
USD,PHP,55.833,2024-01-12
USD,PLN,3.9872,2024-01-12
USD,RON,4.545,2024-01-12
USD,SEK,10.2906,2024-01-12
USD,SGD,1.3328,2024-01-12
USD,THB,35.1,2024-01-12
USD,TRY,30.095,2024-01-12
USD,ZAR,18.6812,2024-01-12
USD,AUD,1.4965,2024-01-13
USD,BGN,1.7874,2024-01-13
USD,BRL,4.872,2024-01-13
USD,CAD,1.3374,2024-01-13
USD,CHF,0.85451,2024-01-13
USD,CNY,7.1697,2024-01-13
USD,CZK,22.564,2024-01-13
USD,DKK,6.8146,2024-01-13
USD,EUR,0.91391,2024-01-13
USD,GBP,0.78551,2024-01-13
USD,HKD,7.823,2024-01-13
USD,HUF,346.69,2024-01-13
USD,IDR,15570.0,2024-01-13
USD,ILS,3.7394,2024-01-13
USD,INR,82.93,2024-01-13
USD,ISK,137.18,2024-01-13
USD,JPY,145.47,2024-01-13
USD,KRW,1314.87,2024-01-13
USD,MXN,16.901,2024-01-13
USD,MYR,4.6475,2024-01-13
USD,NOK,10.3057,2024-01-13
USD,NZD,1.6041,2024-01-13
USD,PHP,55.833,2024-01-13
USD,PLN,3.9872,2024-01-13
USD,RON,4.545,2024-01-13
USD,SEK,10.2906,2024-01-13
USD,SGD,1.3328,2024-01-13
USD,THB,35.1,2024-01-13
USD,TRY,30.095,2024-01-13
USD,ZAR,18.6812,2024-01-13
USD,AUD,1.5156,2024-01-20
USD,BGN,1.7965,2024-01-20
USD,BRL,4.909,2024-01-20
USD,CAD,1.3462,2024-01-20
USD,CHF,0.86883,2024-01-20
USD,CNY,7.1912,2024-01-20
USD,CZK,22.791,2024-01-20
USD,DKK,6.8499,2024-01-20
USD,EUR,0.91853,2024-01-20
USD,GBP,0.78833,2024-01-20
USD,HKD,7.8192,2024-01-20
USD,HUF,350.45,2024-01-20
USD,IDR,15608.0,2024-01-20
USD,ILS,3.7403,2024-01-20
USD,INR,83.08,2024-01-20
USD,ISK,136.77,2024-01-20
USD,JPY,148.04,2024-01-20
USD,KRW,1333.69,2024-01-20
USD,MXN,17.13,2024-01-20
USD,MYR,4.7175,2024-01-20
USD,NOK,10.4804,2024-01-20
USD,NZD,1.6348,2024-01-20
USD,PHP,55.99,2024-01-20
USD,PLN,4.0064,2024-01-20
USD,RON,4.5721,2024-01-20
USD,SEK,10.4528,2024-01-20
USD,SGD,1.341,2024-01-20
USD,THB,35.46,2024-01-20
USD,TRY,30.193,2024-01-20
USD,ZAR,19.0034,2024-01-20
USD,AUD,1.5245,2024-01-18
USD,BGN,1.7984,2024-01-18
USD,BRL,4.9242,2024-01-18
USD,CAD,1.35,2024-01-18
USD,CHF,0.86731,2024-01-18
USD,CNY,7.1937,2024-01-18
USD,CZK,22.744,2024-01-18
USD,DKK,6.8571,2024-01-18
USD,EUR,0.91954,2024-01-18
USD,GBP,0.78872,2024-01-18
USD,HKD,7.8218,2024-01-18
USD,HUF,351.26,2024-01-18
USD,IDR,15610.0,2024-01-18
USD,ILS,3.7675,2024-01-18
USD,INR,83.15,2024-01-18
USD,ISK,137.47,2024-01-18
USD,JPY,147.94,2024-01-18
USD,KRW,1338.67,2024-01-18
USD,MXN,17.1825,2024-01-18
USD,MYR,4.718,2024-01-18
USD,NOK,10.5251,2024-01-18
USD,NZD,1.637,2024-01-18
USD,PHP,55.84,2024-01-18
USD,PLN,4.0451,2024-01-18
USD,RON,4.5767,2024-01-18
USD,SEK,10.4497,2024-01-18
USD,SGD,1.3443,2024-01-18
USD,THB,35.595,2024-01-18
USD,TRY,30.148,2024-01-18
USD,ZAR,18.9398,2024-01-18
USD,AUD,1.5156,2024-01-19
USD,BGN,1.7965,2024-01-19
USD,BRL,4.909,2024-01-19
USD,CAD,1.3462,2024-01-19
USD,CHF,0.86883,2024-01-19
USD,CNY,7.1912,2024-01-19
USD,CZK,22.791,2024-01-19
USD,DKK,6.8499,2024-01-19
USD,EUR,0.91853,2024-01-19
USD,GBP,0.78833,2024-01-19
USD,HKD,7.8192,2024-01-19
USD,HUF,350.45,2024-01-19
USD,IDR,15608.0,2024-01-19
USD,ILS,3.7403,2024-01-19
USD,INR,83.08,2024-01-19
USD,ISK,136.77,2024-01-19
USD,JPY,148.04,2024-01-19
USD,KRW,1333.69,2024-01-19
USD,MXN,17.13,2024-01-19
USD,MYR,4.7175,2024-01-19
USD,NOK,10.4804,2024-01-19
USD,NZD,1.6348,2024-01-19
USD,PHP,55.99,2024-01-19
USD,PLN,4.0064,2024-01-19
USD,RON,4.5721,2024-01-19
USD,SEK,10.4528,2024-01-19
USD,SGD,1.341,2024-01-19
USD,THB,35.46,2024-01-19
USD,TRY,30.193,2024-01-19
USD,ZAR,19.0034,2024-01-19
USD,AUD,1.5156,2024-01-21
USD,BGN,1.7965,2024-01-21
USD,BRL,4.909,2024-01-21
USD,CAD,1.3462,2024-01-21
USD,CHF,0.86883,2024-01-21
USD,CNY,7.1912,2024-01-21
USD,CZK,22.791,2024-01-21
USD,DKK,6.8499,2024-01-21
USD,EUR,0.91853,2024-01-21
USD,GBP,0.78833,2024-01-21
USD,HKD,7.8192,2024-01-21
USD,HUF,350.45,2024-01-21
USD,IDR,15608.0,2024-01-21
USD,ILS,3.7403,2024-01-21
USD,INR,83.08,2024-01-21
USD,ISK,136.77,2024-01-21
USD,JPY,148.04,2024-01-21
USD,KRW,1333.69,2024-01-21
USD,MXN,17.13,2024-01-21
USD,MYR,4.7175,2024-01-21
USD,NOK,10.4804,2024-01-21
USD,NZD,1.6348,2024-01-21
USD,PHP,55.99,2024-01-21
USD,PLN,4.0064,2024-01-21
USD,RON,4.5721,2024-01-21
USD,SEK,10.4528,2024-01-21
USD,SGD,1.341,2024-01-21
USD,THB,35.46,2024-01-21
USD,TRY,30.193,2024-01-21
USD,ZAR,19.0034,2024-01-21
USD,AUD,1.517,2024-01-23
USD,BGN,1.7989,2024-01-23
USD,BRL,4.9651,2024-01-23
USD,CAD,1.3473,2024-01-23
USD,CHF,0.86884,2024-01-23
USD,CNY,7.1701,2024-01-23
USD,CZK,22.833,2024-01-23
USD,DKK,6.8593,2024-01-23
USD,EUR,0.91979,2024-01-23
USD,GBP,0.78636,2024-01-23
USD,HKD,7.8225,2024-01-23
USD,HUF,354.26,2024-01-23
USD,IDR,15711.0,2024-01-23
USD,ILS,3.7648,2024-01-23
USD,INR,83.12,2024-01-23
USD,ISK,136.77,2024-01-23
USD,JPY,147.98,2024-01-23
USD,KRW,1337.65,2024-01-23
USD,MXN,17.2506,2024-01-23
USD,MYR,4.727,2024-01-23
USD,NOK,10.5131,2024-01-23
USD,NZD,1.6408,2024-01-23
USD,PHP,56.2,2024-01-23
USD,PLN,4.0315,2024-01-23
USD,RON,4.5777,2024-01-23
USD,SEK,10.4369,2024-01-23
USD,SGD,1.34,2024-01-23
USD,THB,35.713,2024-01-23
USD,TRY,30.28,2024-01-23
USD,ZAR,19.0416,2024-01-23
USD,AUD,1.5162,2024-01-26
USD,BGN,1.7991,2024-01-26
USD,BRL,4.909,2024-01-26
USD,CAD,1.3437,2024-01-26
USD,CHF,0.86432,2024-01-26
USD,CNY,7.1745,2024-01-26
USD,CZK,22.765,2024-01-26
USD,DKK,6.8576,2024-01-26
USD,EUR,0.91988,2024-01-26
USD,GBP,0.78528,2024-01-26
USD,HKD,7.8128,2024-01-26
USD,HUF,355.95,2024-01-26
USD,IDR,15759.0,2024-01-26
USD,ILS,3.6848,2024-01-26
USD,INR,83.13,2024-01-26
USD,ISK,136.42,2024-01-26
USD,JPY,147.75,2024-01-26
USD,KRW,1334.82,2024-01-26
USD,MXN,17.1633,2024-01-26
USD,MYR,4.7275,2024-01-26
USD,NOK,10.4245,2024-01-26
USD,NZD,1.6375,2024-01-26
USD,PHP,56.37,2024-01-26
USD,PLN,4.0268,2024-01-26
USD,RON,4.5778,2024-01-26
USD,SEK,10.4133,2024-01-26
USD,SGD,1.3403,2024-01-26
USD,THB,35.58,2024-01-26
USD,TRY,30.304,2024-01-26
USD,ZAR,18.7894,2024-01-26
USD,AUD,1.5181,2024-01-25
USD,BGN,1.7955,2024-01-25
USD,BRL,4.9265,2024-01-25
USD,CAD,1.3508,2024-01-25
USD,CHF,0.86478,2024-01-25
USD,CNY,7.1691,2024-01-25
USD,CZK,22.727,2024-01-25
USD,DKK,6.8448,2024-01-25
USD,EUR,0.91802,2024-01-25
USD,GBP,0.78526,2024-01-25
USD,HKD,7.8157,2024-01-25
USD,HUF,353.6,2024-01-25
USD,IDR,15851.0,2024-01-25
USD,ILS,3.7014,2024-01-25
USD,INR,83.13,2024-01-25
USD,ISK,135.96,2024-01-25
USD,JPY,147.63,2024-01-25
USD,KRW,1336.87,2024-01-25
USD,MXN,17.2265,2024-01-25
USD,MYR,4.7315,2024-01-25
USD,NOK,10.4567,2024-01-25
USD,NZD,1.6345,2024-01-25
USD,PHP,56.51,2024-01-25
USD,PLN,4.0177,2024-01-25
USD,RON,4.5688,2024-01-25
USD,SEK,10.4195,2024-01-25
USD,SGD,1.3395,2024-01-25
USD,THB,35.735,2024-01-25
USD,TRY,30.285,2024-01-25
USD,ZAR,18.8938,2024-01-25
USD,AUD,1.5162,2024-01-27
USD,BGN,1.7991,2024-01-27
USD,BRL,4.909,2024-01-27
USD,CAD,1.3437,2024-01-27
USD,CHF,0.86432,2024-01-27
USD,CNY,7.1745,2024-01-27
USD,CZK,22.765,2024-01-27
USD,DKK,6.8576,2024-01-27
USD,EUR,0.91988,2024-01-27
USD,GBP,0.78528,2024-01-27
USD,HKD,7.8128,2024-01-27
USD,HUF,355.95,2024-01-27
USD,IDR,15759.0,2024-01-27
USD,ILS,3.6848,2024-01-27
USD,INR,83.13,2024-01-27
USD,ISK,136.42,2024-01-27
USD,JPY,147.75,2024-01-27
USD,KRW,1334.82,2024-01-27
USD,MXN,17.1633,2024-01-27
USD,MYR,4.7275,2024-01-27
USD,NOK,10.4245,2024-01-27
USD,NZD,1.6375,2024-01-27
USD,PHP,56.37,2024-01-27
USD,PLN,4.0268,2024-01-27
USD,RON,4.5778,2024-01-27
USD,SEK,10.4133,2024-01-27
USD,SGD,1.3403,2024-01-27
USD,THB,35.58,2024-01-27
USD,TRY,30.304,2024-01-27
USD,ZAR,18.7894,2024-01-27
